"StateName","Year","CountPerCapita","Proportion","childPop","numDup","rateDup","numUnq","rateUnq"
"alabama",2007,NA,NA,1123537,9247,8.2,NA,NA
"alabama",2008,NA,NA,1121877,9217,8.2,9011,8
"alabama",2009,NA,NA,1128864,8295,7.3,8123,7.2
"alabama",2010,NA,NA,1128864,9322,8.25785922839244,9367,8.29772231198798
"alabama",2011,NA,NA,1127143,NA,NA,8601,7.6
"arizona",2007,NA,NA,1669866,4025,2.4,NA,NA
"arizona",2008,NA,NA,1707221,3516,2.1,3450,2
"arizona",2009,NA,NA,1732019,3922,2.3,3803,2.2
"arizona",2010,NA,NA,1732019,6006,3.46762939667521,6023,3.47744453149763
"arizona",2011,NA,NA,1625114,NA,NA,8708,5.4
"arkansas",2007,NA,NA,700537,9847,14.1,NA,NA
"arkansas",2008,NA,NA,702481,9289,13.2,8759,12.5
"arkansas",2009,NA,NA,709968,10556,14.9,9926,14
"arkansas",2010,NA,NA,709968,11606,16.347215649156,11729,16.5204628941023
"arkansas",2011,NA,NA,710474,NA,NA,11105,15.6
"california",2007,NA,NA,9383924,88319,9.4,NA,NA
"california",2008,NA,NA,9364530,84848,9.1,78421,8.4
"california",2009,NA,NA,9435682,79799,8.5,73962,7.8
"california",2010,NA,NA,9435682,76644,8.12278328159003,76758,8.13486507917499
"california",2011,NA,NA,9271919,NA,NA,80100,8.6
"colorado",2007,97,NA,1192679,10588,8.9,NA,NA
"colorado",2008,97,NA,1207135,11247,9.3,10699,8.9
"colorado",2009,97,NA,1227763,11881,9.7,11341,9.2
"colorado",2010,97,NA,1227763,11139,9.07259788737729,11166,9.09458910229417
"colorado",2011,97,NA,1230088,NA,NA,10604,8.6
"connecticut",2007,105,NA,820216,9875,12,NA,NA
"connecticut",2008,105,NA,812213,9641,11.9,8972,11
"connecticut",2009,105,NA,807985,9756,12.1,9090,11.3
"connecticut",2010,105,NA,807985,9961,12.3281991621132,10021,12.4024579664226
"connecticut",2011,105,NA,803314,NA,NA,10012,12.5
"delaware",2007,NA,0.901174078,205646,2116,10.3,NA,NA
"delaware",2008,NA,0.901174078,206229,2278,11,2226,10.8
"delaware",2009,NA,0.901174078,206993,2071,10,2015,9.7
"delaware",2010,NA,0.901174078,206993,2116,10.2225679129246,2125,10.2660476441232
"delaware",2011,NA,0.901174078,204668,NA,NA,2466,12
"district of columbia",2007,NA,NA,113720,2757,24.2,NA,NA
"district of columbia",2008,NA,NA,112016,2645,23.6,2549,22.8
"district of columbia",2009,NA,NA,114036,3407,29.9,3279,28.8
"district of columbia",2010,NA,NA,114036,2666,23.3785822021116,2672,23.4311971658073
"district of columbia",2011,NA,NA,105334,NA,NA,2377,22.6
"florida",2007,NA,NA,4043560,53484,13.2,NA,NA
"florida",2008,NA,NA,4004271,51271,12.8,47981,12
"florida",2009,NA,NA,4057773,49078,12.1,45841,11.3
"florida",2010,NA,NA,4057773,50093,12.3449488179846,50239,12.3809291451247
"florida",2011,NA,NA,3994431,NA,NA,51920,13
"georgia",2007,NA,NA,2531609,35729,14.1,NA,NA
"georgia",2008,NA,NA,2548841,26330,10.3,25716,10.1
"georgia",2009,NA,NA,2583792,23921,9.3,23249,9
"georgia",2010,NA,NA,2583792,19964,7.72662814963434,19976,7.73127248633017
"georgia",2011,NA,NA,2489858,NA,NA,18541,7.4
"idaho",2007,NA,NA,407712,1582,3.9,NA,NA
"idaho",2008,NA,NA,412640,1836,4.4,1764,4.3
"idaho",2009,NA,NA,419190,1634,3.9,1571,3.7
"idaho",2010,NA,NA,419190,1607,3.83358381640783,1609,3.8383549225888
"idaho",2011,NA,NA,428116,NA,NA,1470,3.4
"illinois",2007,NA,NA,3199159,31058,9.7,NA,NA
"illinois",2008,NA,NA,3179260,29788,9.4,27372,8.6
"illinois",2009,NA,NA,3177377,29836,9.4,27446,8.6
"illinois",2010,NA,NA,3177377,26397,8.30779602168707,26442,8.32195864702237
"illinois",2011,NA,NA,3098125,NA,NA,25832,8.3
"indiana",2007,99,NA,1586518,18380,11.6,NA,NA
"indiana",2008,99,NA,1584681,21846,13.8,20367,12.9
"indiana",2009,99,NA,1589365,24108,15.2,22330,14
"indiana",2010,99,NA,1589365,21355,13.4361836330862,21362,13.4405879077493
"indiana",2011,99,NA,1597603,NA,NA,17930,11.2
"iowa",2007,NA,NA,711403,14051,19.8,NA,NA
"iowa",2008,NA,NA,712613,11200,15.7,10133,14.2
"iowa",2009,NA,NA,713155,13007,18.2,11636,16.3
"iowa",2010,NA,NA,713155,11998,16.8238321262559,12005,16.8336476642525
"iowa",2011,NA,NA,724370,NA,NA,11028,15.2
"kansas",2007,NA,NA,696082,2272,3.3,NA,NA
"kansas",2008,NA,NA,700485,1685,2.4,1629,2.3
"kansas",2009,NA,NA,704951,1363,1.9,1329,1.9
"kansas",2010,NA,NA,704951,1502,2.1306445412518,1504,2.13348161787131
"kansas",2011,NA,NA,723922,NA,NA,1729,2.4
"kentucky",2007,NA,NA,1003973,18778,18.7,NA,NA
"kentucky",2008,NA,NA,1008064,18252,18.1,16835,16.7
"kentucky",2009,NA,NA,1014323,17470,17.2,16187,16
"kentucky",2010,NA,NA,1014323,17004,16.7638907921836,17029,16.7885377734706
"kentucky",2011,NA,NA,1020955,NA,NA,16994,16.6
"louisiana",2007,NA,NA,1079560,9468,8.8,NA,NA
"louisiana",2008,NA,NA,1107973,10173,9.2,9533,8.6
"louisiana",2009,NA,NA,1123386,9660,8.6,9063,8.1
"louisiana",2010,NA,NA,1123386,8340,7.42398427610812,8344,7.42754494002952
"louisiana",2011,NA,NA,1118196,NA,NA,9545,8.5
"maine",2007,NA,NA,279467,4118,14.7,NA,NA
"maine",2008,NA,NA,274867,4033,14.7,3716,13.5
"maine",2009,NA,NA,271176,4073,15,3809,14
"maine",2010,NA,NA,271176,3260,12.0217128359442,3269,12.0549016137121
"maine",2011,NA,NA,269218,NA,NA,3118,11.6
"maryland",2007,NA,NA,NA,NA,NA,NA,NA
"maryland",2008,NA,NA,NA,NA,NA,NA,NA
"maryland",2009,NA,NA,1351935,16771,12.4,15310,11.3
"maryland",2010,NA,NA,1351935,13015,9.62694212369678,13059,9.65948806710382
"maryland",2011,NA,NA,1346635,NA,NA,13740,10.2
"massachusetts",2007,NA,NA,1432856,37690,26.3,NA,NA
"massachusetts",2008,NA,NA,1427033,41596,29.1,36772,25.8
"massachusetts",2009,NA,NA,1433002,38958,27.2,34639,24.2
"massachusetts",2010,NA,NA,1433002,24372,17.00765246664,24428,17.0467312676465
"massachusetts",2011,NA,NA,1405015,NA,NA,20262,14.4
"michigan",2007,81,NA,NA,NA,NA,NA,NA
"michigan",2008,81,NA,2390198,29643,12.4,27383,11.5
"michigan",2009,81,NA,2349892,32463,13.8,29976,12.8
"michigan",2010,81,NA,2349892,32337,13.7610579550039,32412,13.7929743154153
"michigan",2011,81,NA,2295812,NA,NA,33366,14.5
"minnesota",2007,NA,NA,1260282,6847,5.4,NA,NA
"minnesota",2008,NA,NA,1254644,5824,4.6,5510,4.4
"minnesota",2009,NA,NA,1260797,4961,3.9,4668,3.7
"minnesota",2010,NA,NA,1260797,4442,3.52316828165042,4462,3.53903126355789
"minnesota",2011,NA,NA,1277526,NA,NA,4342,3.4
"mississippi",2007,90,NA,768704,7002,9.1,NA,NA
"mississippi",2008,90,NA,766720,7976,10.4,7429,9.7
"mississippi",2009,90,NA,767742,7883,10.3,7369,9.6
"mississippi",2010,90,NA,767742,7390,9.62562944322442,7403,9.64256221491074
"mississippi",2011,90,NA,750239,NA,NA,6712,8.9
"missouri",2007,NA,NA,1424830,7235,5.1,NA,NA
"missouri",2008,NA,NA,1421469,5528,3.9,5324,3.7
"missouri",2009,NA,NA,1431338,5451,3.8,5226,3.7
"missouri",2010,NA,NA,1431338,5313,3.71191151216554,5313,3.71191151216554
"missouri",2011,NA,NA,1412121,NA,NA,5826,4.1
"montana",2007,NA,0.770823122,219498,1886,8.6,NA,NA
"montana",2008,NA,0.770823122,220358,1625,7.4,1538,7
"montana",2009,NA,0.770823122,219828,1628,7.4,1521,6.9
"montana",2010,NA,0.770823122,219828,1342,6.10477282238841,1383,6.29128227523336
"montana",2011,NA,0.770823122,222354,NA,NA,1066,4.8
"nebraska",2007,NA,NA,446145,4108,9.2,NA,NA
"nebraska",2008,NA,NA,446995,4668,10.4,4190,9.4
"nebraska",2009,NA,NA,451641,5448,12.1,4871,10.8
"nebraska",2010,NA,NA,451641,4560,10.096514709692,4572,10.1230844852438
"nebraska",2011,NA,NA,460065,NA,NA,4307,9.4
"nevada",2007,NA,NA,660002,5417,8.2,NA,NA
"nevada",2008,NA,NA,667801,4877,7.3,4561,6.8
"nevada",2009,NA,NA,681033,4708,6.9,4443,6.5
"nevada",2010,NA,NA,681033,4649,6.82639460936548,4654,6.83373639750203
"nevada",2011,NA,NA,663775,NA,NA,5355,8.1
"new hampshire",2007,91,NA,298186,912,3.1,NA,NA
"new hampshire",2008,91,NA,293358,1129,3.8,1063,3.6
"new hampshire",2009,91,NA,289071,984,3.4,924,3.2
"new hampshire",2010,91,NA,289071,847,2.93007600208945,851,2.94391343303202
"new hampshire",2011,91,NA,279984,NA,NA,876,3.1
"new jersey",2007,NA,NA,2063789,7543,3.7,NA,NA
"new jersey",2008,NA,NA,2047582,9089,4.4,8588,4.2
"new jersey",2009,NA,NA,2045848,9293,4.5,8725,4.3
"new jersey",2010,NA,NA,2045848,8935,4.3673821320059,8981,4.38986669586401
"new jersey",2011,NA,NA,2042810,NA,NA,8238,4
"new mexico",2007,97,NA,500276,6065,12.1,NA,NA
"new mexico",2008,97,NA,502450,5656,11.3,5164,10.3
"new mexico",2009,97,NA,510238,5368,10.5,4915,9.6
"new mexico",2010,97,NA,510238,5410,10.6028951195325,5440,10.6616912107683
"new mexico",2011,97,NA,519419,NA,NA,5601,10.8
"new york",2007,NA,0.39496714,4413414,83502,18.9,NA,NA
"new york",2008,NA,0.39496714,4408016,84089,19.1,72922,16.5
"new york",2009,NA,0.39496714,4424083,90031,20.4,77620,17.5
"new york",2010,NA,0.39496714,4424083,76835,17.3674408911406,77011,17.407223146582
"new york",2011,NA,0.39496714,4286008,NA,NA,72625,16.9
"north carolina",2007,NA,NA,2217680,25976,11.7,NA,NA
"north carolina",2008,NA,NA,2243677,24618,11,22445,10
"north carolina",2009,NA,NA,2277967,24506,10.8,22371,9.8
"north carolina",2010,NA,NA,2277967,21888,9.60856763947853,21895,9.61164055493341
"north carolina",2011,NA,NA,2287593,NA,NA,22940,10
"north dakota",2007,NA,NA,142809,1288,9,NA,NA
"north dakota",2008,NA,NA,143048,1285,9,NA,NA
"north dakota",2009,NA,NA,143971,1254,8.7,NA,NA
"north dakota",2010,NA,NA,143971,1034,7.18200193094443,1128,7.83491119739392
"north dakota",2011,NA,NA,151156,NA,NA,1295,8.6
"ohio",2007,NA,0.651701271,2751874,38484,14,NA,NA
"ohio",2008,NA,0.651701271,2730377,36106,13.2,33331,12.2
"ohio",2009,NA,0.651701271,2714341,34084,12.6,31270,11.5
"ohio",2010,NA,0.651701271,2714341,31062,11.4436616475233,31295,11.5295020043539
"ohio",2011,NA,0.651701271,2693092,NA,NA,30601,11.4
"oklahoma",2007,90,NA,899507,13179,14.7,NA,NA
"oklahoma",2008,90,NA,906035,11169,12.3,10219,11.3
"oklahoma",2009,90,NA,918849,7621,8.3,7157,7.8
"oklahoma",2010,90,NA,918849,7177,7.81085902036134,7207,7.84350856343099
"oklahoma",2011,90,NA,936159,NA,NA,7836,8.4
"oregon",2007,92,0.171212769,862908,11552,13.4,NA,NA
"oregon",2008,92,0.171212769,867575,11042,12.7,NA,NA
"oregon",2009,92,0.171212769,872811,11802,13.5,NA,NA
"oregon",2010,92,0.171212769,NA,NA,NA,NA,NA
"oregon",2011,92,0.171212769,NA,NA,NA,NA,NA
"pennsylvania",2007,NA,NA,2786719,4177,1.5,NA,NA
"pennsylvania",2008,NA,NA,2762004,4055,1.5,3872,1.4
"pennsylvania",2009,NA,NA,2775132,4084,1.5,3913,1.4
"pennsylvania",2010,NA,NA,2775132,3476,1.25255303171164,3555,1.28102014606873
"pennsylvania",2011,NA,NA,2761159,NA,NA,3287,1.2
"rhode island",2007,NA,NA,233115,3857,16.5,NA,NA
"rhode island",2008,NA,NA,228540,3082,13.5,2775,12.1
"rhode island",2009,NA,NA,226825,3065,13.5,2804,12.4
"rhode island",2010,NA,NA,226825,3282,14.469304529924,3295,14.5266174363496
"rhode island",2011,NA,NA,219536,NA,NA,3131,14.3
"south carolina",2007,NA,NA,1059917,12762,12,NA,NA
"south carolina",2008,NA,NA,1066227,12549,11.8,12178,11.4
"south carolina",2009,NA,NA,1080732,12707,11.8,12381,11.5
"south carolina",2010,NA,NA,1080732,11550,10.6872008971697,11802,10.9203761894716
"south carolina",2011,NA,NA,1080555,NA,NA,11324,10.5
"south dakota",2007,105,0.178758057,196890,1485,7.5,NA,NA
"south dakota",2008,105,0.178758057,198309,1394,7,1331,6.7
"south dakota",2009,105,0.178758057,199616,1513,7.6,1443,7.2
"south dakota",2010,105,0.178758057,199616,1346,6.74294645719782,1360,6.81308111574223
"south dakota",2011,105,0.178758057,203156,NA,NA,1353,6.7
"tennessee",2007,NA,NA,1471486,16059,10.9,NA,NA
"tennessee",2008,NA,NA,1478594,11586,7.8,10945,7.4
"tennessee",2009,NA,NA,1493252,9186,6.2,8822,5.9
"tennessee",2010,NA,NA,1493252,8721,5.84027344346433,8760,5.86639093736355
"tennessee",2011,NA,NA,1492136,NA,NA,9243,6.2
"texas",2007,NA,0.244472611,6623366,71111,10.7,NA,NA
"texas",2008,NA,0.244472611,6725771,70976,10.6,67913,10.1
"texas",2009,NA,0.244472611,6895969,69169,10,66359,9.6
"texas",2010,NA,0.244472611,6895969,64670,9.37794238924218,64937,9.41666066074253
"texas",2011,NA,0.244472611,6960738,NA,NA,63474,9.1
"utah",2007,NA,0.59128776,816822,13611,16.7,NA,NA
"utah",2008,NA,0.59128776,849635,13179,15.5,12364,14.6
"utah",2009,NA,0.59128776,868824,13706,15.8,12704,14.6
"utah",2010,NA,0.59128776,868824,12842,14.7808992385109,12854,14.7947110116663
"utah",2011,NA,0.59128776,880309,NA,NA,10586,12
"vermont",2007,NA,0.932553769,131353,872,6.6,NA,NA
"vermont",2008,NA,0.932553769,128930,677,5.3,638,4.9
"vermont",2009,NA,0.932553769,126275,762,6,696,5.5
"vermont",2010,NA,0.932553769,126275,658,5.210849336765,658,5.210849336765
"vermont",2011,NA,0.932553769,126018,NA,NA,630,5
"virginia",2007,NA,NA,1826179,6413,3.5,NA,NA
"virginia",2008,NA,NA,1823201,5912,3.2,5793,3.2
"virginia",2009,NA,NA,1847182,6068,3.3,5951,3.2
"virginia",2010,NA,NA,1847182,6338,3.43117245620626,6449,3.49126399022944
"virginia",2011,NA,NA,1853546,NA,NA,5964,3.2
"washington",2007,NA,NA,1536368,6984,4.5,NA,NA
"washington",2008,NA,NA,1541175,6738,4.4,6264,4.1
"washington",2009,NA,NA,1569592,6560,4.2,6070,3.9
"washington",2010,NA,NA,1569592,6570,4.18580115087233,6593,4.20045464044159
"washington",2011,NA,NA,1581757,NA,NA,6541,4.1
"west virginia",2007,NA,NA,387381,7109,18.4,NA,NA
"west virginia",2008,NA,NA,386158,6077,15.7,5300,13.7
"west virginia",2009,NA,NA,386449,5473,14.2,4978,12.9
"west virginia",2010,NA,NA,386449,3888,10.0608359705938,3961,10.2497354113997
"west virginia",2011,NA,NA,384794,NA,NA,4000,10.4
"wisconsin",2007,NA,NA,1321279,7856,5.9,NA,NA
"wisconsin",2008,NA,NA,1314412,5787,4.4,5407,4.1
"wisconsin",2009,NA,NA,1310250,4947,3.8,4654,3.6
"wisconsin",2010,NA,NA,1310250,4531,3.45811867964129,4569,3.48712077847739
"wisconsin",2011,NA,NA,1326208,NA,NA,4750,3.6
"wyoming",2007,NA,0.362366686,125365,772,6.2,NA,NA
"wyoming",2008,NA,0.362366686,128457,729,5.7,691,5.4
"wyoming",2009,NA,0.362366686,132025,727,5.5,707,5.4
"wyoming",2010,NA,0.362366686,132025,723,5.4762355614467,725,5.49138420753645
"wyoming",2011,NA,0.362366686,134937,NA,NA,703,5.2
